trade_date,underlier,strike,has_ce,has_pe,ce_instrument_name,pe_instrument_name
2022-11-01,BANKNIFTY,41400,True,True,BANKNIFTY22110341400CE,BANKNIFTY22110341400PE
2022-11-01,BANKNIFTY,41500,True,True,BANKNIFTY22110341500CE,BANKNIFTY22110341500PE
2022-11-01,BANKNIFTY,41600,True,True,BANKNIFTY22110341600CE,BANKNIFTY22110341600PE
2022-11-01,BANKNIFTY,41700,True,True,BANKNIFTY22110341700CE,BANKNIFTY22110341700PE
2022-11-01,BANKNIFTY,41800,True,True,BANKNIFTY22110341800CE,BANKNIFTY22110341800PE
2022-11-01,BANKNIFTY,41900,True,True,BANKNIFTY22110341900CE,BANKNIFTY22110341900PE
2022-11-01,BANKNIFTY,42000,True,True,BANKNIFTY22110342000CE,BANKNIFTY22110342000PE
2022-11-01,BANKNIFTY,42100,True,True,BANKNIFTY22110342100CE,BANKNIFTY22110342100PE
2022-11-01,BANKNIFTY,42200,True,True,BANKNIFTY22110342200CE,BANKNIFTY22110342200PE
2022-11-01,BANKNIFTY,42300,True,True,BANKNIFTY22110342300CE,BANKNIFTY22110342300PE
2022-11-01,BANKNIFTY,42400,True,True,BANKNIFTY22110342400CE,BANKNIFTY22110342400PE
2022-11-01,BANKNIFTY,42500,True,True,BANKNIFTY22110342500CE,BANKNIFTY22110342500PE
2022-11-01,BANKNIFTY,42600,True,True,BANKNIFTY22110342600CE,BANKNIFTY22110342600PE
2022-11-01,BANKNIFTY,42700,True,True,BANKNIFTY22110342700CE,BANKNIFTY22110342700PE
2022-11-01,BANKNIFTY,42800,True,True,BANKNIFTY22110342800CE,BANKNIFTY22110342800PE
2022-11-01,BANKNIFTY,42900,True,True,BANKNIFTY22110342900CE,BANKNIFTY22110342900PE
2022-11-01,BANKNIFTY,43000,True,True,BANKNIFTY22110343000CE,BANKNIFTY22110343000PE
2022-11-01,BANKNIFTY,43100,True,True,BANKNIFTY22110343100CE,BANKNIFTY22110343100PE
2022-11-01,BANKNIFTY,43200,True,True,BANKNIFTY22110343200CE,BANKNIFTY22110343200PE
2022-11-01,BANKNIFTY,43300,True,False,BANKNIFTY22110343300CE,
2022-11-01,BANKNIFTY,43400,True,False,BANKNIFTY22110343400CE,
2022-11-01,BANKNIFTY,43500,True,True,BANKNIFTY22110343500CE,BANKNIFTY22110343500PE
2022-11-01,BANKNIFTY,43600,True,False,BANKNIFTY22110343600CE,
2022-11-01,BANKNIFTY,43700,True,True,BANKNIFTY22110343700CE,BANKNIFTY22110343700PE
2022-11-01,BANKNIFTY,43800,True,False,BANKNIFTY22110343800CE,
2022-11-01,BANKNIFTY,43900,True,False,BANKNIFTY22110343900CE,
2022-11-01,BANKNIFTY,44000,True,True,BANKNIFTY22110344000CE,BANKNIFTY22110344000PE
2022-11-01,BANKNIFTY,44100,True,False,BANKNIFTY22110344100CE,
2022-11-01,BANKNIFTY,44200,True,False,BANKNIFTY22110344200CE,
2022-11-01,BANKNIFTY,44300,True,False,BANKNIFTY22110344300CE,
2022-11-01,BANKNIFTY,44400,True,False,BANKNIFTY22110344400CE,
2022-11-01,BANKNIFTY,44500,True,True,BANKNIFTY22110344500CE,BANKNIFTY22110344500PE
2022-11-01,BANKNIFTY,44600,True,False,BANKNIFTY22110344600CE,
2022-11-01,BANKNIFTY,45000,True,False,BANKNIFTY22110345000CE,
2022-11-01,BANKNIFTY,45500,True,False,BANKNIFTY22110345500CE,
2022-11-01,BANKNIFTY,46000,True,False,BANKNIFTY22110346000CE,
2022-11-01,BANKNIFTY,46500,True,False,BANKNIFTY22110346500CE,
2022-11-01,NIFTY,14550,False,True,,NIFTY22110314550PE
2022-11-01,NIFTY,14600,False,True,,NIFTY22110314600PE
2022-11-01,NIFTY,14650,False,True,,NIFTY22110314650PE
2022-11-01,NIFTY,14700,False,True,,NIFTY22110314700PE
2022-11-01,NIFTY,14750,False,True,,NIFTY22110314750PE
2022-11-01,NIFTY,14800,False,True,,NIFTY22110314800PE
2022-11-01,NIFTY,14850,False,True,,NIFTY22110314850PE
2022-11-01,NIFTY,14900,False,True,,NIFTY22110314900PE
2022-11-01,NIFTY,14950,False,True,,NIFTY22110314950PE
2022-11-01,NIFTY,15000,True,True,NIFTY22110315000CE,NIFTY22110315000PE
2022-11-01,NIFTY,15050,False,True,,NIFTY22110315050PE
2022-11-01,NIFTY,15100,False,True,,NIFTY22110315100PE
2022-11-01,NIFTY,15150,False,True,,NIFTY22110315150PE
2022-11-01,NIFTY,15200,False,True,,NIFTY22110315200PE
2022-11-01,NIFTY,15250,False,True,,NIFTY22110315250PE
2022-11-01,NIFTY,15300,False,True,,NIFTY22110315300PE
2022-11-01,NIFTY,15350,False,True,,NIFTY22110315350PE
2022-11-01,NIFTY,15400,False,True,,NIFTY22110315400PE
2022-11-01,NIFTY,15450,False,True,,NIFTY22110315450PE
2022-11-01,NIFTY,15500,False,True,,NIFTY22110315500PE
2022-11-01,NIFTY,15550,False,True,,NIFTY22110315550PE
2022-11-01,NIFTY,15600,False,True,,NIFTY22110315600PE
2022-11-01,NIFTY,15650,False,True,,NIFTY22110315650PE
2022-11-01,NIFTY,15700,False,True,,NIFTY22110315700PE
2022-11-01,NIFTY,15750,False,True,,NIFTY22110315750PE
2022-11-01,NIFTY,15800,False,True,,NIFTY22110315800PE
2022-11-01,NIFTY,15850,False,True,,NIFTY22110315850PE
2022-11-01,NIFTY,15900,False,True,,NIFTY22110315900PE
2022-11-01,NIFTY,15950,False,True,,NIFTY22110315950PE
2022-11-01,NIFTY,16000,True,True,NIFTY22110316000CE,NIFTY22110316000PE
2022-11-01,NIFTY,16050,False,True,,NIFTY22110316050PE
2022-11-01,NIFTY,16100,False,True,,NIFTY22110316100PE
2022-11-01,NIFTY,16150,False,True,,NIFTY22110316150PE
2022-11-01,NIFTY,16200,False,True,,NIFTY22110316200PE
2022-11-01,NIFTY,16250,False,True,,NIFTY22110316250PE
2022-11-01,NIFTY,16300,False,True,,NIFTY22110316300PE
2022-11-01,NIFTY,16350,False,True,,NIFTY22110316350PE
2022-11-01,NIFTY,16400,True,True,NIFTY22110316400CE,NIFTY22110316400PE
2022-11-01,NIFTY,16450,False,True,,NIFTY22110316450PE
2022-11-01,NIFTY,16500,True,True,NIFTY22110316500CE,NIFTY22110316500PE
2022-11-01,NIFTY,16550,False,True,,NIFTY22110316550PE
2022-11-01,NIFTY,16600,True,True,NIFTY22110316600CE,NIFTY22110316600PE
2022-11-01,NIFTY,16650,False,True,,NIFTY22110316650PE
2022-11-01,NIFTY,16700,True,True,NIFTY22110316700CE,NIFTY22110316700PE
2022-11-01,NIFTY,16750,False,True,,NIFTY22110316750PE
2022-11-01,NIFTY,16800,True,True,NIFTY22110316800CE,NIFTY22110316800PE
2022-11-01,NIFTY,16850,False,True,,NIFTY22110316850PE
2022-11-01,NIFTY,16900,True,True,NIFTY22110316900CE,NIFTY22110316900PE
2022-11-01,NIFTY,16950,True,True,NIFTY22110316950CE,NIFTY22110316950PE
2022-11-01,NIFTY,17000,True,True,NIFTY22110317000CE,NIFTY22110317000PE
2022-11-01,NIFTY,17050,True,True,NIFTY22110317050CE,NIFTY22110317050PE
2022-11-01,NIFTY,17100,True,True,NIFTY22110317100CE,NIFTY22110317100PE
2022-11-01,NIFTY,17150,True,True,NIFTY22110317150CE,NIFTY22110317150PE
2022-11-01,NIFTY,17200,True,True,NIFTY22110317200CE,NIFTY22110317200PE
2022-11-01,NIFTY,17250,True,True,NIFTY22110317250CE,NIFTY22110317250PE
2022-11-01,NIFTY,17300,True,True,NIFTY22110317300CE,NIFTY22110317300PE
2022-11-01,NIFTY,17350,True,True,NIFTY22110317350CE,NIFTY22110317350PE
2022-11-01,NIFTY,17400,True,True,NIFTY22110317400CE,NIFTY22110317400PE
2022-11-01,NIFTY,17450,True,True,NIFTY22110317450CE,NIFTY22110317450PE
2022-11-01,NIFTY,17500,True,True,NIFTY22110317500CE,NIFTY22110317500PE
2022-11-01,NIFTY,17550,True,True,NIFTY22110317550CE,NIFTY22110317550PE
2022-11-01,NIFTY,17600,True,True,NIFTY22110317600CE,NIFTY22110317600PE
2022-11-01,NIFTY,17650,True,True,NIFTY22110317650CE,NIFTY22110317650PE
2022-11-01,NIFTY,17700,True,True,NIFTY22110317700CE,NIFTY22110317700PE
2022-11-01,NIFTY,17750,True,True,NIFTY22110317750CE,NIFTY22110317750PE
2022-11-01,NIFTY,17800,True,True,NIFTY22110317800CE,NIFTY22110317800PE
2022-11-01,NIFTY,17850,True,True,NIFTY22110317850CE,NIFTY22110317850PE
2022-11-01,NIFTY,17900,True,True,NIFTY22110317900CE,NIFTY22110317900PE
2022-11-01,NIFTY,17950,True,True,NIFTY22110317950CE,NIFTY22110317950PE
2022-11-01,NIFTY,18000,True,True,NIFTY22110318000CE,NIFTY22110318000PE
2022-11-01,NIFTY,18050,True,True,NIFTY22110318050CE,NIFTY22110318050PE
2022-11-01,NIFTY,18100,True,True,NIFTY22110318100CE,NIFTY22110318100PE
2022-11-01,NIFTY,18150,True,True,NIFTY22110318150CE,NIFTY22110318150PE
2022-11-01,NIFTY,18200,True,True,NIFTY22110318200CE,NIFTY22110318200PE
2022-11-01,NIFTY,18250,True,True,NIFTY22110318250CE,NIFTY22110318250PE
2022-11-01,NIFTY,18300,True,True,NIFTY22110318300CE,NIFTY22110318300PE
2022-11-01,NIFTY,18350,True,True,NIFTY22110318350CE,NIFTY22110318350PE
2022-11-01,NIFTY,18400,True,True,NIFTY22110318400CE,NIFTY22110318400PE
2022-11-01,NIFTY,18450,True,True,NIFTY22110318450CE,NIFTY22110318450PE
2022-11-01,NIFTY,18500,True,True,NIFTY22110318500CE,NIFTY22110318500PE
2022-11-01,NIFTY,18550,True,True,NIFTY22110318550CE,NIFTY22110318550PE
2022-11-01,NIFTY,18600,True,True,NIFTY22110318600CE,NIFTY22110318600PE
2022-11-01,NIFTY,18650,True,True,NIFTY22110318650CE,NIFTY22110318650PE
2022-11-01,NIFTY,18700,True,True,NIFTY22110318700CE,NIFTY22110318700PE
2022-11-01,NIFTY,18750,True,True,NIFTY22110318750CE,NIFTY22110318750PE
2022-11-01,NIFTY,18800,True,True,NIFTY22110318800CE,NIFTY22110318800PE
2022-11-01,NIFTY,18850,True,True,NIFTY22110318850CE,NIFTY22110318850PE
2022-11-01,NIFTY,18900,True,True,NIFTY22110318900CE,NIFTY22110318900PE
2022-11-01,NIFTY,18950,True,True,NIFTY22110318950CE,NIFTY22110318950PE
2022-11-01,NIFTY,19000,True,True,NIFTY22110319000CE,NIFTY22110319000PE
