trade_date,underlier,expiry_date,strike,option_type,instrument_name,filename
2022-11-01,BANKNIFTY,2022-11-03,38900,CE,BANKNIFTY22110338900CE,BANKNIFTY22110338900CE.csv
2022-11-01,BANKNIFTY,2022-11-03,38900,PE,BANKNIFTY22110338900PE,BANKNIFTY22110338900PE.csv
2022-11-01,BANKNIFTY,2022-11-03,39000,CE,BANKNIFTY22110339000CE,BANKNIFTY22110339000CE.csv
2022-11-01,BANKNIFTY,2022-11-03,39000,PE,BANKNIFTY22110339000PE,BANKNIFTY22110339000PE.csv
2022-11-01,BANKNIFTY,2022-11-03,39100,CE,BANKNIFTY22110339100CE,BANKNIFTY22110339100CE.csv
2022-11-01,BANKNIFTY,2022-11-03,39100,PE,BANKNIFTY22110339100PE,BANKNIFTY22110339100PE.csv
2022-11-01,BANKNIFTY,2022-11-03,39200,CE,BANKNIFTY22110339200CE,BANKNIFTY22110339200CE.csv
2022-11-01,BANKNIFTY,2022-11-03,39200,PE,BANKNIFTY22110339200PE,BANKNIFTY22110339200PE.csv
2022-11-01,BANKNIFTY,2022-11-03,39300,CE,BANKNIFTY22110339300CE,BANKNIFTY22110339300CE.csv
2022-11-01,BANKNIFTY,2022-11-03,39300,PE,BANKNIFTY22110339300PE,BANKNIFTY22110339300PE.csv
2022-11-01,BANKNIFTY,2022-11-03,39400,CE,BANKNIFTY22110339400CE,BANKNIFTY22110339400CE.csv
2022-11-01,BANKNIFTY,2022-11-03,39400,PE,BANKNIFTY22110339400PE,BANKNIFTY22110339400PE.csv
2022-11-01,BANKNIFTY,2022-11-03,39500,CE,BANKNIFTY22110339500CE,BANKNIFTY22110339500CE.csv
2022-11-01,BANKNIFTY,2022-11-03,39500,PE,BANKNIFTY22110339500PE,BANKNIFTY22110339500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,39600,CE,BANKNIFTY22110339600CE,BANKNIFTY22110339600CE.csv
2022-11-01,BANKNIFTY,2022-11-03,39600,PE,BANKNIFTY22110339600PE,BANKNIFTY22110339600PE.csv
2022-11-01,BANKNIFTY,2022-11-03,39700,CE,BANKNIFTY22110339700CE,BANKNIFTY22110339700CE.csv
2022-11-01,BANKNIFTY,2022-11-03,39700,PE,BANKNIFTY22110339700PE,BANKNIFTY22110339700PE.csv
2022-11-01,BANKNIFTY,2022-11-03,39800,CE,BANKNIFTY22110339800CE,BANKNIFTY22110339800CE.csv
2022-11-01,BANKNIFTY,2022-11-03,39800,PE,BANKNIFTY22110339800PE,BANKNIFTY22110339800PE.csv
2022-11-01,BANKNIFTY,2022-11-03,39900,CE,BANKNIFTY22110339900CE,BANKNIFTY22110339900CE.csv
2022-11-01,BANKNIFTY,2022-11-03,39900,PE,BANKNIFTY22110339900PE,BANKNIFTY22110339900PE.csv
2022-11-01,BANKNIFTY,2022-11-03,40000,CE,BANKNIFTY22110340000CE,BANKNIFTY22110340000CE.csv
2022-11-01,BANKNIFTY,2022-11-03,40000,PE,BANKNIFTY22110340000PE,BANKNIFTY22110340000PE.csv
2022-11-01,BANKNIFTY,2022-11-03,40100,CE,BANKNIFTY22110340100CE,BANKNIFTY22110340100CE.csv
2022-11-01,BANKNIFTY,2022-11-03,40100,PE,BANKNIFTY22110340100PE,BANKNIFTY22110340100PE.csv
2022-11-01,BANKNIFTY,2022-11-03,40200,CE,BANKNIFTY22110340200CE,BANKNIFTY22110340200CE.csv
2022-11-01,BANKNIFTY,2022-11-03,40200,PE,BANKNIFTY22110340200PE,BANKNIFTY22110340200PE.csv
2022-11-01,BANKNIFTY,2022-11-03,40300,CE,BANKNIFTY22110340300CE,BANKNIFTY22110340300CE.csv
2022-11-01,BANKNIFTY,2022-11-03,40300,PE,BANKNIFTY22110340300PE,BANKNIFTY22110340300PE.csv
2022-11-01,BANKNIFTY,2022-11-03,40400,CE,BANKNIFTY22110340400CE,BANKNIFTY22110340400CE.csv
2022-11-01,BANKNIFTY,2022-11-03,40400,PE,BANKNIFTY22110340400PE,BANKNIFTY22110340400PE.csv
2022-11-01,BANKNIFTY,2022-11-03,40500,CE,BANKNIFTY22110340500CE,BANKNIFTY22110340500CE.csv
2022-11-01,BANKNIFTY,2022-11-03,40500,PE,BANKNIFTY22110340500PE,BANKNIFTY22110340500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,40600,CE,BANKNIFTY22110340600CE,BANKNIFTY22110340600CE.csv
2022-11-01,BANKNIFTY,2022-11-03,40600,PE,BANKNIFTY22110340600PE,BANKNIFTY22110340600PE.csv
2022-11-01,BANKNIFTY,2022-11-03,40700,CE,BANKNIFTY22110340700CE,BANKNIFTY22110340700CE.csv
2022-11-01,BANKNIFTY,2022-11-03,40700,PE,BANKNIFTY22110340700PE,BANKNIFTY22110340700PE.csv
2022-11-01,BANKNIFTY,2022-11-03,40800,CE,BANKNIFTY22110340800CE,BANKNIFTY22110340800CE.csv
2022-11-01,BANKNIFTY,2022-11-03,40800,PE,BANKNIFTY22110340800PE,BANKNIFTY22110340800PE.csv
2022-11-01,BANKNIFTY,2022-11-03,40900,CE,BANKNIFTY22110340900CE,BANKNIFTY22110340900CE.csv
2022-11-01,BANKNIFTY,2022-11-03,40900,PE,BANKNIFTY22110340900PE,BANKNIFTY22110340900PE.csv
2022-11-01,BANKNIFTY,2022-11-03,41000,CE,BANKNIFTY22110341000CE,BANKNIFTY22110341000CE.csv
2022-11-01,BANKNIFTY,2022-11-03,41000,PE,BANKNIFTY22110341000PE,BANKNIFTY22110341000PE.csv
2022-11-01,BANKNIFTY,2022-11-03,41100,CE,BANKNIFTY22110341100CE,BANKNIFTY22110341100CE.csv
2022-11-01,BANKNIFTY,2022-11-03,41100,PE,BANKNIFTY22110341100PE,BANKNIFTY22110341100PE.csv
2022-11-01,BANKNIFTY,2022-11-03,41200,CE,BANKNIFTY22110341200CE,BANKNIFTY22110341200CE.csv
2022-11-01,BANKNIFTY,2022-11-03,41200,PE,BANKNIFTY22110341200PE,BANKNIFTY22110341200PE.csv
2022-11-01,BANKNIFTY,2022-11-03,41300,CE,BANKNIFTY22110341300CE,BANKNIFTY22110341300CE.csv
2022-11-01,BANKNIFTY,2022-11-03,41300,PE,BANKNIFTY22110341300PE,BANKNIFTY22110341300PE.csv
2022-11-01,BANKNIFTY,2022-11-03,41400,CE,BANKNIFTY22110341400CE,BANKNIFTY22110341400CE.csv
2022-11-01,BANKNIFTY,2022-11-03,41400,PE,BANKNIFTY22110341400PE,BANKNIFTY22110341400PE.csv
2022-11-01,BANKNIFTY,2022-11-03,41500,CE,BANKNIFTY22110341500CE,BANKNIFTY22110341500CE.csv
2022-11-01,BANKNIFTY,2022-11-03,41500,PE,BANKNIFTY22110341500PE,BANKNIFTY22110341500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,41600,CE,BANKNIFTY22110341600CE,BANKNIFTY22110341600CE.csv
2022-11-01,BANKNIFTY,2022-11-03,41600,PE,BANKNIFTY22110341600PE,BANKNIFTY22110341600PE.csv
2022-11-01,BANKNIFTY,2022-11-03,41700,CE,BANKNIFTY22110341700CE,BANKNIFTY22110341700CE.csv
2022-11-01,BANKNIFTY,2022-11-03,41700,PE,BANKNIFTY22110341700PE,BANKNIFTY22110341700PE.csv
2022-11-01,BANKNIFTY,2022-11-03,41800,CE,BANKNIFTY22110341800CE,BANKNIFTY22110341800CE.csv
2022-11-01,BANKNIFTY,2022-11-03,41800,PE,BANKNIFTY22110341800PE,BANKNIFTY22110341800PE.csv
2022-11-01,BANKNIFTY,2022-11-03,41900,CE,BANKNIFTY22110341900CE,BANKNIFTY22110341900CE.csv
2022-11-01,BANKNIFTY,2022-11-03,41900,PE,BANKNIFTY22110341900PE,BANKNIFTY22110341900PE.csv
2022-11-01,BANKNIFTY,2022-11-03,42000,CE,BANKNIFTY22110342000CE,BANKNIFTY22110342000CE.csv
2022-11-01,BANKNIFTY,2022-11-03,42000,PE,BANKNIFTY22110342000PE,BANKNIFTY22110342000PE.csv
2022-11-01,BANKNIFTY,2022-11-03,42100,CE,BANKNIFTY22110342100CE,BANKNIFTY22110342100CE.csv
2022-11-01,BANKNIFTY,2022-11-03,42100,PE,BANKNIFTY22110342100PE,BANKNIFTY22110342100PE.csv
2022-11-01,BANKNIFTY,2022-11-03,42200,CE,BANKNIFTY22110342200CE,BANKNIFTY22110342200CE.csv
2022-11-01,BANKNIFTY,2022-11-03,42200,PE,BANKNIFTY22110342200PE,BANKNIFTY22110342200PE.csv
2022-11-01,BANKNIFTY,2022-11-03,42300,CE,BANKNIFTY22110342300CE,BANKNIFTY22110342300CE.csv
2022-11-01,BANKNIFTY,2022-11-03,42300,PE,BANKNIFTY22110342300PE,BANKNIFTY22110342300PE.csv
2022-11-01,BANKNIFTY,2022-11-03,42400,CE,BANKNIFTY22110342400CE,BANKNIFTY22110342400CE.csv
2022-11-01,BANKNIFTY,2022-11-03,42400,PE,BANKNIFTY22110342400PE,BANKNIFTY22110342400PE.csv
2022-11-01,BANKNIFTY,2022-11-03,42500,CE,BANKNIFTY22110342500CE,BANKNIFTY22110342500CE.csv
2022-11-01,BANKNIFTY,2022-11-03,42500,PE,BANKNIFTY22110342500PE,BANKNIFTY22110342500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,42600,CE,BANKNIFTY22110342600CE,BANKNIFTY22110342600CE.csv
2022-11-01,BANKNIFTY,2022-11-03,42600,PE,BANKNIFTY22110342600PE,BANKNIFTY22110342600PE.csv
2022-11-01,BANKNIFTY,2022-11-03,42700,CE,BANKNIFTY22110342700CE,BANKNIFTY22110342700CE.csv
2022-11-01,BANKNIFTY,2022-11-03,42700,PE,BANKNIFTY22110342700PE,BANKNIFTY22110342700PE.csv
2022-11-01,BANKNIFTY,2022-11-03,42800,CE,BANKNIFTY22110342800CE,BANKNIFTY22110342800CE.csv
2022-11-01,BANKNIFTY,2022-11-03,42800,PE,BANKNIFTY22110342800PE,BANKNIFTY22110342800PE.csv
2022-11-01,BANKNIFTY,2022-11-03,42900,CE,BANKNIFTY22110342900CE,BANKNIFTY22110342900CE.csv
2022-11-01,BANKNIFTY,2022-11-03,42900,PE,BANKNIFTY22110342900PE,BANKNIFTY22110342900PE.csv
