trade_date,underlier,num_trades,num_entries,num_rolls,num_squareoffs,gross_pnl,first_entry_time,last_roll_time,num_unique_strikes_held,max_favorable_excursion,max_adverse_excursion
2022-11-01,NIFTY,4,2,0,2,66.6000000000001,09:44:22,,1,66.6000000000001,0.0
2022-11-01,BANKNIFTY,4,2,0,2,97.84999999999927,12:33:43,,1,97.84999999999927,-0.050000000000000044
2022-11-02,NIFTY,4,2,0,2,-30.35,10:19:02,,1,0.050000000000000044,-40.35
2022-11-02,BANKNIFTY,4,2,0,2,54.2,09:33:34,,1,55.45,-25.05
2022-11-03,NIFTY,4,2,0,2,-78.25000000000018,10:29:29,,1,0.04999999999999999,-78.25000000000018
2022-11-03,BANKNIFTY,4,2,0,2,128.85,09:42:22,,1,174.3,-0.3999999999999999
2022-11-04,NIFTY,4,2,0,2,39.149999999999906,09:24:08,,1,39.149999999999906,-0.20000000000000007
2022-11-04,BANKNIFTY,4,2,0,2,-295.50000000000017,09:19:02,,1,0.10000000000000009,-295.8000000000002
2022-11-07,NIFTY,4,2,0,2,-0.04999999999999999,11:38:30,,1,0.050000000000000044,-0.04999999999999999
2022-11-07,BANKNIFTY,4,2,0,2,-60.70000000000018,09:38:07,,1,0.09999999999999987,-60.70000000000018
2022-11-09,NIFTY,4,2,0,2,-2.849999999999909,09:39:51,,1,0.0,-2.899999999999909
2022-11-09,BANKNIFTY,4,2,0,2,-0.050000000000000044,15:21:00,,1,0.20000000000000007,-0.050000000000000044
2022-11-10,NIFTY,4,2,0,2,-77.45000000000009,09:30:41,,1,0.0,-77.45000000000009
2022-11-10,BANKNIFTY,4,2,0,2,-120.7,09:56:44,,1,39.9,-120.7
2022-11-11,NIFTY,4,2,0,2,-4.85,10:31:08,,1,0.04999999999999993,-5.15
2022-11-11,BANKNIFTY,4,2,0,2,-0.5499999999999998,11:48:30,,1,0.8999999999999999,-0.8500000000000001
2022-11-14,NIFTY,4,2,0,2,8.849999999999818,09:16:54,,1,8.949999999999818,-1.1000000000001817
2022-11-14,BANKNIFTY,4,2,0,2,129.99999999999963,09:16:05,,1,130.94999999999965,-0.04999999999999982
2022-11-15,NIFTY,4,2,0,2,25.500000000000092,09:46:59,,1,25.60000000000009,-0.30000000000000004
2022-11-15,BANKNIFTY,8,2,1,2,138.25,09:18:51,15:22:55,2,138.8,-1.3499999999999996
2022-11-16,NIFTY,4,2,0,2,-1.85,12:09:10,,1,0.0,-1.85
2022-11-16,BANKNIFTY,4,2,0,2,-0.9500000000000002,10:48:34,,1,0.4500000000000002,-1.4
2022-11-17,NIFTY,4,2,0,2,-40.05000000000009,12:21:58,,1,0.0,-40.05000000000009
2022-11-17,BANKNIFTY,4,2,0,2,-35.2,10:01:34,,1,0.0,-35.35
2022-11-18,NIFTY,4,2,0,2,-24.099999999999817,09:19:45,,1,0.09999999999999998,-111.44999999999982
2022-11-18,BANKNIFTY,4,2,0,2,78.44999999999963,13:53:53,,1,78.44999999999963,-0.09999999999999987
2022-11-21,NIFTY,4,2,0,2,-27.000000000000092,09:28:14,,1,0.0,-56.80000000000009
2022-11-21,BANKNIFTY,4,2,0,2,0.0,13:18:53,,1,0.050000000000000044,-0.1499999999999999
2022-11-22,NIFTY,4,2,0,2,97.6000000000001,09:17:04,,1,97.70000000000009,0.0
2022-11-22,BANKNIFTY,4,2,0,2,-0.1499999999999999,11:02:05,,1,0.10000000000000009,-0.19999999999999996
2022-11-23,NIFTY,4,2,0,2,-57.64999999999982,09:23:47,,1,11.0,-57.64999999999982
2022-11-23,BANKNIFTY,4,2,0,2,-10.4,10:27:58,,1,24.8,-199.04999999999927
2022-11-24,NIFTY,4,2,0,2,188.14999999999972,09:21:48,,1,190.29999999999964,-1.4000000000003638
2022-11-24,BANKNIFTY,4,2,0,2,144.19999999999928,09:26:31,,1,160.35,-0.04999999999999999
2022-11-25,NIFTY,4,2,0,2,4.949999999999818,10:12:23,,1,16.0,-0.09999999999999998
2022-11-25,BANKNIFTY,4,2,0,2,-109.84999999999982,09:20:12,,1,86.44999999999982,-164.8500000000002
2022-11-28,NIFTY,4,2,0,2,-0.2,14:57:06,,1,0.09999999999999998,-0.2
2022-11-28,BANKNIFTY,4,2,0,2,-0.19999999999999996,12:15:25,,1,0.050000000000000044,-0.30000000000000004
2022-11-29,NIFTY,4,2,0,2,-54.30000000000037,13:17:29,,1,12.449999999999637,-54.50000000000036
2022-11-29,BANKNIFTY,4,2,0,2,-0.5,10:29:33,,1,0.050000000000000044,-0.55
2022-11-30,NIFTY,4,2,0,2,-0.9500000000000001,12:31:44,,1,0.0,-1.05
2022-11-30,BANKNIFTY,4,2,0,2,-0.55,15:02:37,,1,0.75,-0.6500000000000001
