trade_date,timestamp,underlier,expiry,strike,option_type,instrument_name,direction,price,quantity,reason
2022-11-09,2022-11-09 15:21:00,BANKNIFTY,2022-11-10,35000,CE,BANKNIFTY22111035000CE,BUY,6760.6,1,ENTRY
2022-11-09,2022-11-09 15:21:00,BANKNIFTY,2022-11-10,35000,PE,BANKNIFTY22111035000PE,BUY,0.9,1,ENTRY
2022-11-09,2022-11-09 15:29:59,BANKNIFTY,2022-11-10,35000,CE,BANKNIFTY22111035000CE,SELL,6760.6,1,SQUAREOFF
2022-11-09,2022-11-09 15:29:59,BANKNIFTY,2022-11-10,35000,PE,BANKNIFTY22111035000PE,SELL,0.85,1,SQUAREOFF
2022-11-10,2022-11-10 09:30:41,NIFTY,2022-11-10,16000,CE,NIFTY22111016000CE,BUY,2065.0,1,ENTRY
2022-11-10,2022-11-10 09:30:41,NIFTY,2022-11-10,16000,PE,NIFTY22111016000PE,BUY,0.35,1,ENTRY
2022-11-10,2022-11-10 15:29:59,NIFTY,2022-11-10,16000,CE,NIFTY22111016000CE,SELL,1987.85,1,SQUAREOFF
2022-11-10,2022-11-10 15:29:59,NIFTY,2022-11-10,16000,PE,NIFTY22111016000PE,SELL,0.05,1,SQUAREOFF
2022-11-10,2022-11-10 09:56:44,BANKNIFTY,2022-11-10,35000,CE,BANKNIFTY22111035000CE,BUY,6520.0,1,ENTRY
2022-11-10,2022-11-10 09:56:44,BANKNIFTY,2022-11-10,35000,PE,BANKNIFTY22111035000PE,BUY,0.75,1,ENTRY
2022-11-10,2022-11-10 15:29:59,BANKNIFTY,2022-11-10,35000,CE,BANKNIFTY22111035000CE,SELL,6400.0,1,SQUAREOFF
2022-11-10,2022-11-10 15:29:59,BANKNIFTY,2022-11-10,35000,PE,BANKNIFTY22111035000PE,SELL,0.05,1,SQUAREOFF
2022-11-11,2022-11-11 10:31:08,NIFTY,2022-11-17,16000,CE,NIFTY22111716000CE,BUY,2315.0,1,ENTRY
2022-11-11,2022-11-11 10:31:08,NIFTY,2022-11-17,16000,PE,NIFTY22111716000PE,BUY,0.8,1,ENTRY
2022-11-11,2022-11-11 15:29:59,NIFTY,2022-11-17,16000,CE,NIFTY22111716000CE,SELL,2310.0,1,SQUAREOFF
2022-11-11,2022-11-11 15:29:59,NIFTY,2022-11-17,16000,PE,NIFTY22111716000PE,SELL,0.95,1,SQUAREOFF
2022-11-11,2022-11-11 11:48:30,BANKNIFTY,2022-11-17,37500,CE,BANKNIFTY22111737500CE,BUY,4650.0,1,ENTRY
2022-11-11,2022-11-11 11:48:30,BANKNIFTY,2022-11-17,37500,PE,BANKNIFTY22111737500PE,BUY,3.65,1,ENTRY
2022-11-11,2022-11-11 15:29:59,BANKNIFTY,2022-11-17,37500,CE,BANKNIFTY22111737500CE,SELL,4650.0,1,SQUAREOFF
2022-11-11,2022-11-11 15:29:59,BANKNIFTY,2022-11-17,37500,PE,BANKNIFTY22111737500PE,SELL,3.1,1,SQUAREOFF
2022-11-14,2022-11-14 09:16:54,NIFTY,2022-11-17,16000,CE,NIFTY22111716000CE,BUY,2368.8,1,ENTRY
2022-11-14,2022-11-14 09:16:54,NIFTY,2022-11-17,16000,PE,NIFTY22111716000PE,BUY,0.85,1,ENTRY
2022-11-14,2022-11-14 15:29:59,NIFTY,2022-11-17,16000,CE,NIFTY22111716000CE,SELL,2378.0,1,SQUAREOFF
2022-11-14,2022-11-14 15:29:59,NIFTY,2022-11-17,16000,PE,NIFTY22111716000PE,SELL,0.5,1,SQUAREOFF
2022-11-14,2022-11-14 09:16:05,BANKNIFTY,2022-11-17,37000,CE,BANKNIFTY22111737000CE,BUY,5104.3,1,ENTRY
