trade_date,underlier,num_trades,num_entries,num_rolls,num_squareoffs,gross_pnl,first_entry_time,last_roll_time,num_unique_strikes_held,max_favorable_excursion,max_adverse_excursion
2022-11-01,NIFTY,4,2,0,2,-5.5,09:15:00,,1,21.94999999999999,-5.549999999999997
2022-11-01,BANKNIFTY,4,2,0,2,-84.14999999999998,09:15:00,,1,0.0,-117.24999999999997
2022-11-02,NIFTY,4,2,0,2,19.950000000000003,09:15:01,,1,32.79999999999999,-3.549999999999997
2022-11-02,BANKNIFTY,4,2,0,2,37.599999999999966,09:15:01,,1,72.34999999999997,-32.150000000000034
2022-11-03,NIFTY,4,2,0,2,-79.55000000000001,09:15:00,,1,7.599999999999994,-92.65
2022-11-03,BANKNIFTY,4,2,0,2,-124.15,09:15:00,,1,87.95000000000002,-163.85
2022-11-04,NIFTY,4,2,0,2,-38.849999999999994,09:15:00,,1,0.0,-46.89999999999999
2022-11-04,BANKNIFTY,4,2,0,2,-41.89999999999998,09:15:02,,1,71.85000000000002,-48.39999999999998
2022-11-07,NIFTY,4,2,0,2,-35.999999999999986,09:15:00,,1,65.30000000000001,-37.6
2022-11-07,BANKNIFTY,4,2,0,2,-101.35,09:15:00,,1,65.15,-112.1
2022-11-09,NIFTY,4,2,0,2,95.04999999999998,09:15:00,,1,109.19999999999999,0.0
2022-11-09,BANKNIFTY,4,2,0,2,-92.7,09:15:00,,1,5.600000000000023,-124.64999999999999
2022-11-10,NIFTY,4,2,0,2,-21.85,09:15:00,,1,33.300000000000004,-35.3
2022-11-10,BANKNIFTY,4,2,0,2,-182.75,09:15:00,,1,96.15000000000002,-191.1
2022-11-11,NIFTY,4,2,0,2,-19.200000000000003,09:15:01,,1,11.09999999999998,-26.75
2022-11-11,BANKNIFTY,4,2,0,2,-93.30000000000001,09:15:00,,1,8.150000000000034,-102.05000000000001
2022-11-14,NIFTY,4,2,0,2,5.599999999999987,09:15:01,,1,14.199999999999989,-22.5
2022-11-14,BANKNIFTY,4,2,0,2,-51.19999999999996,09:15:01,,1,34.60000000000002,-51.19999999999996
2022-11-15,NIFTY,4,2,0,2,-29.29999999999999,09:15:00,,1,18.79999999999999,-32.99999999999999
2022-11-15,BANKNIFTY,4,2,0,2,-30.400000000000006,09:15:00,,1,5.849999999999994,-71.60000000000002
2022-11-16,NIFTY,4,2,0,2,-7.050000000000001,09:15:00,,1,26.25,-13.800000000000004
2022-11-16,BANKNIFTY,4,2,0,2,-74.0,09:15:01,,1,55.44999999999999,-74.0
2022-11-17,NIFTY,4,2,0,2,-35.2,09:15:00,,1,1.4500000000000028,-72.95
2022-11-17,BANKNIFTY,4,2,0,2,-192.64999999999998,09:15:00,,1,26.599999999999994,-217.2
2022-11-18,NIFTY,4,2,0,2,-29.75,09:15:00,,1,27.799999999999997,-29.75
2022-11-18,BANKNIFTY,4,2,0,2,-75.15000000000003,09:15:00,,1,38.599999999999966,-75.15000000000003
2022-11-21,NIFTY,4,2,0,2,-33.650000000000006,09:15:00,,1,0.0,-34.70000000000001
2022-11-21,BANKNIFTY,4,2,0,2,-110.84999999999997,09:15:00,,1,0.0,-113.19999999999996
2022-11-22,NIFTY,4,2,0,2,-7.400000000000006,09:15:00,,1,3.450000000000003,-17.650000000000013
2022-11-22,BANKNIFTY,4,2,0,2,-64.85,09:15:01,,1,8.0,-70.90000000000002
2022-11-23,NIFTY,4,2,0,2,-10.650000000000013,09:15:00,,1,3.349999999999998,-30.85
2022-11-23,BANKNIFTY,4,2,0,2,-6.1000000000000085,09:15:00,,1,103.94999999999999,-20.40000000000002
2022-11-24,NIFTY,4,2,0,2,118.85,09:15:00,,1,122.1,-12.150000000000002
2022-11-24,BANKNIFTY,4,2,0,2,94.6,09:15:00,,1,109.7,-66.4
2022-11-25,NIFTY,4,2,0,2,-24.1,09:15:02,,1,24.550000000000004,-25.45000000000001
2022-11-25,BANKNIFTY,4,2,0,2,-29.700000000000045,09:15:02,,1,68.19999999999999,-36.45000000000002
2022-11-28,NIFTY,4,2,0,2,-3.750000000000014,09:15:00,,1,26.94999999999999,-5.050000000000011
2022-11-28,BANKNIFTY,4,2,0,2,-66.14999999999998,09:15:00,,1,17.500000000000057,-74.84999999999997
2022-11-29,NIFTY,4,2,0,2,-56.599999999999994,09:15:00,,1,0.0,-62.3
2022-11-29,BANKNIFTY,4,2,0,2,-66.39999999999999,09:15:02,,1,0.0,-80.85
2022-11-30,NIFTY,4,2,0,2,-47.1,09:15:01,,1,18.5,-51.099999999999994
2022-11-30,BANKNIFTY,4,2,0,2,-95.1,09:15:01,,1,111.4,-99.80000000000001
